nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87111,FR*SOD*S*MB87*1*1*_*_,BELLAC - PLACE DU CHAMP DE FOIRE,Voirie,7 RUE DE CHANZY,87300,"[46.120257,1.050832]",2,FRS87EMB87111,FR*SOD*E*MB87*1*1*1*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2021-09-30,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87112,FR*SOD*S*MB87*1*1*_*_,BELLAC - PLACE DU CHAMP DE FOIRE,Voirie,7 RUE DE CHANZY,87300,"[46.120257,1.050832]",2,FRS87EMB87112,FR*SOD*E*MB87*1*1*2*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2021-09-30,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87211,FR*SOD*S*MB87*2*1*_*_,CHATEAUNEUF LA FORET - PLACE DU 8 MAI 1945,Voirie,PLACE DU 8 MAI 1945,87130,"[45.713124,1.605933]",2,FRS87EMB87211,FR*SOD*E*MB87*2*1*1*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2022-03-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87212,FR*SOD*S*MB87*2*1*_*_,CHATEAUNEUF LA FORET - PLACE DU 8 MAI 1945,Voirie,PLACE DU 8 MAI 1945,87130,"[45.713124,1.605933]",2,FRS87EMB87212,FR*SOD*E*MB87*2*1*2*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2022-03-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87311,FR*SOD*S*MB87*3*1*_*_,LE DORAT - PLACE DU CHAMP DE FOIRE,Voirie,PLACE DU CHAMP DE FOIRE,87210,"[46.217588,1.077636]",2,FRS87EMB87311,FR*SOD*E*MB87*3*1*1*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2022-03-30,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87312,FR*SOD*S*MB87*3*1*_*_,LE DORAT - PLACE DU CHAMP DE FOIRE,Voirie,PLACE DU CHAMP DE FOIRE,87210,"[46.217588,1.077636]",2,FRS87EMB87312,FR*SOD*E*MB87*3*1*2*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2022-03-30,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87411,FR*SOD*S*MB87*4*1*_*_,AIXE SUR VIENNE - PLACE GUILLAUME LEMAISTRE,Voirie,"PARKING GUILLAUME LEMAISTRE, RUE PIERRE MENDES FRANCE",87700,"[45.797558,1.137518]",2,FRS87EMB87411,FR*SOD*E*MB87*4*1*1*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2021-10-01,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87412,FR*SOD*S*MB87*4*1*_*_,AIXE SUR VIENNE - PLACE GUILLAUME LEMAISTRE,Voirie,"PARKING GUILLAUME LEMAISTRE, RUE PIERRE MENDES FRANCE",87700,"[45.797558,1.137518]",2,FRS87EMB87412,FR*SOD*E*MB87*4*1*2*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2021-10-01,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87511,FR*SOD*S*MB87*5*1*_*_,AIXE SUR VIENNE - GARE,Voirie,26 AVENUE DU GENERAL DE GAULLE,87700,"[45.796720,1.145703]",2,FRS87EMB87511,FR*SOD*E*MB87*5*1*1*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2021-10-01,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
MOBIVE - SEHV87,"",valerie.geay@sehv.fr ,Izivia,sav@izivia.com,0972668001,MOBIVE - SEHV87,FRS87PMB87512,FR*SOD*S*MB87*5*1*_*_,AIXE SUR VIENNE - GARE,Voirie,26 AVENUE DU GENERAL DE GAULLE,87700,"[45.796720,1.145703]",2,FRS87EMB87512,FR*SOD*E*MB87*5*1*2*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2021-10-01,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
