nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE111,FR*SOD*S*SIGE*1*1*_*_,"SIGEIF - 32, BOULEVARD SENARD - SAINT-CLOUD",Voirie,32 BOULEVARD SENARD,92210,"[48.854660,2.220406]",2,FRSIGESIGE111,FR*SOD*E*SIGE*1*1*1*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2021-05-17,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE112,FR*SOD*S*SIGE*1*1*_*_,"SIGEIF - 32, BOULEVARD SENARD - SAINT-CLOUD",Voirie,32 BOULEVARD SENARD,92210,"[48.854660,2.220406]",2,FRSIGESIGE112,FR*SOD*E*SIGE*1*1*2*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2021-05-17,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE211,FR*SOD*S*SIGE*2*1*_*_,"SIGEIF - 199, BOULEVARD DE LA REPUBLIQUE - SAINT-CLOUD",Voirie,199 BOULEVARD DE LA REPUBLIQUE,92210,"[48.857063,2.210997]",2,FRSIGESIGE211,FR*SOD*E*SIGE*2*1*1*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2020-07-08,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE212,FR*SOD*S*SIGE*2*1*_*_,"SIGEIF - 199, BOULEVARD DE LA REPUBLIQUE - SAINT-CLOUD",Voirie,199 BOULEVARD DE LA REPUBLIQUE,92210,"[48.857063,2.210997]",2,FRSIGESIGE212,FR*SOD*E*SIGE*2*1*2*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2020-07-08,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE311,FR*SOD*S*SIGE*3*1*_*_,"SIGEIF - 52, AVENUE DU MARECHAL FOCH - SAINT-CLOUD",Voirie,52 AVENUE DU MARECHAL FOCH,92210,"[48.847778,2.207391]",2,FRSIGESIGE311,FR*SOD*E*SIGE*3*1*1*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2020-10-01,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE312,FR*SOD*S*SIGE*3*1*_*_,"SIGEIF - 52, AVENUE DU MARECHAL FOCH - SAINT-CLOUD",Voirie,52 AVENUE DU MARECHAL FOCH,92210,"[48.847778,2.207391]",2,FRSIGESIGE312,FR*SOD*E*SIGE*3*1*2*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2020-10-01,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE411,FR*SOD*S*SIGE*4*1*_*_,"SIGEIF - 8, RUE DU MONT-VALERIEN - SAINT-CLOUD",Voirie,8 RUE DU MONT-VALERIEN,92210,"[48.855042,2.215528]",2,FRSIGESIGE411,FR*SOD*E*SIGE*4*1*1*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2020-08-05,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE412,FR*SOD*S*SIGE*4*1*_*_,"SIGEIF - 8, RUE DU MONT-VALERIEN - SAINT-CLOUD",Voirie,8 RUE DU MONT-VALERIEN,92210,"[48.855042,2.215528]",2,FRSIGESIGE412,FR*SOD*E*SIGE*4*1*2*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2020-08-05,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE511,FR*SOD*S*SIGE*5*1*_*_,"SIGEIF - 8, BOULEVARD DE LA REPUBLIQUE - SAINT-CLOUD",Voirie,8 BOULEVARD DE LA REPUBLIQUE,92210,"[48.843157,2.207385]",2,FRSIGESIGE511,FR*SOD*E*SIGE*5*1*1*_,22,false,false,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2020-10-14,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
SIGEIF,"",christophe.provot@sigeif.fr,Izivia,sav@izivia.com,0972668001,SIGEIF,FRSIGPSIGE512,FR*SOD*S*SIGE*5*1*_*_,"SIGEIF - 8, BOULEVARD DE LA REPUBLIQUE - SAINT-CLOUD",Voirie,8 BOULEVARD DE LA REPUBLIQUE,92210,"[48.843157,2.207385]",2,FRSIGESIGE512,FR*SOD*E*SIGE*5*1*2*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,0,2020-10-14,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2023-11-28,0
